"DateTime","close"
"2016-02-02 00:00:00",995.5
"2016-02-03 00:00:00",980
"2016-02-04 00:00:00",977.65
"2016-02-05 00:00:00",974.9
"2016-02-08 00:00:00",959.65
"2016-02-09 00:00:00",956.75
"2016-02-10 00:00:00",965.4
"2016-02-11 00:00:00",924
"2016-02-12 00:00:00",904.85
"2016-02-15 00:00:00",944.4
"2016-02-16 00:00:00",929.25
"2016-02-17 00:00:00",956.1
"2016-02-18 00:00:00",937.15
"2016-02-19 00:00:00",943.5
"2016-02-22 00:00:00",963
"2016-02-23 00:00:00",943.9
"2016-02-24 00:00:00",955
"2016-02-25 00:00:00",942
"2016-02-26 00:00:00",953
"2016-02-29 00:00:00",965
"2016-03-01 00:00:00",984.25
"2016-03-02 00:00:00",1000
"2016-03-03 00:00:00",1010
"2016-03-04 00:00:00",1007.5
"2016-03-08 00:00:00",1023
"2016-03-09 00:00:00",1041.9
"2016-03-10 00:00:00",1009.15
"2016-03-11 00:00:00",1015.4
"2016-03-14 00:00:00",1019.75
"2016-03-15 00:00:00",1019.55
"2016-03-16 00:00:00",1024.4
"2016-03-17 00:00:00",1014.5
"2016-03-18 00:00:00",1028.3
"2016-03-21 00:00:00",1040
"2016-03-22 00:00:00",1049.35
"2016-03-23 00:00:00",1027.25
"2016-03-28 00:00:00",1022.5
"2016-03-29 00:00:00",1034
"2016-03-30 00:00:00",1047.4
"2016-03-31 00:00:00",1045
"2016-04-01 00:00:00",1035
"2016-04-04 00:00:00",1035.75
"2016-04-05 00:00:00",1027.3
"2016-04-06 00:00:00",1034.4
"2016-04-07 00:00:00",1034.8
"2016-04-08 00:00:00",1035
"2016-04-11 00:00:00",1039.2
"2016-04-12 00:00:00",1047.6
"2016-04-13 00:00:00",1064.6
"2016-04-18 00:00:00",1063.05
"2016-04-20 00:00:00",1037.15
"2016-04-21 00:00:00",1039.5
"2016-04-22 00:00:00",1040.5
"2016-04-25 00:00:00",1014.55
"2016-04-26 00:00:00",1014.3
"2016-04-27 00:00:00",1018.45
"2016-04-28 00:00:00",993.5
"2016-04-29 00:00:00",980.9
"2016-05-02 00:00:00",987
"2016-05-03 00:00:00",975
"2016-05-04 00:00:00",976
"2016-05-05 00:00:00",974.9
"2016-05-06 00:00:00",969.15
"2016-05-09 00:00:00",983.3
"2016-05-10 00:00:00",982.3
"2016-05-11 00:00:00",974.1
"2016-05-12 00:00:00",993
"2016-05-13 00:00:00",975.95
"2016-05-16 00:00:00",974.5
"2016-05-17 00:00:00",967.45
"2016-05-18 00:00:00",970.05
"2016-05-19 00:00:00",947.35
"2016-05-20 00:00:00",933.4
"2016-05-23 00:00:00",931.1
"2016-05-24 00:00:00",941
"2016-05-25 00:00:00",949.65
"2016-05-26 00:00:00",947.3
"2016-05-27 00:00:00",973.1
"2016-05-30 00:00:00",965.8
"2016-05-31 00:00:00",959
"2016-06-01 00:00:00",952.7
"2016-06-02 00:00:00",955.35
"2016-06-03 00:00:00",958.75
"2016-06-06 00:00:00",954.45
"2016-06-07 00:00:00",953.45
"2016-06-08 00:00:00",955.95
"2016-06-09 00:00:00",970
"2016-06-10 00:00:00",975.7
"2016-06-13 00:00:00",980
"2016-06-14 00:00:00",976.3
"2016-06-15 00:00:00",981.85
"2016-06-16 00:00:00",975.25
"2016-06-17 00:00:00",973
"2016-06-20 00:00:00",987.5
"2016-06-21 00:00:00",983.05
"2016-06-22 00:00:00",978
"2016-06-23 00:00:00",981
"2016-06-24 00:00:00",948.55
"2016-06-27 00:00:00",953.9
"2016-06-28 00:00:00",958
